Track Name,Artists,Predicted_Preferences,mbti
Mistaken,"Libianca, Oxlade, Chlöe",0.061316522370784034,enfj
Over You,HAON,0.06110087933508986,enfj
Love Me Even If I Die,YLN Foreign,0.060733905974719636,enfj
leavemealone,"Fred again.., Baby Keem",0.060679188900146355,enfj
전화하지 마 Don't call me,Jettoyz,0.06066370784343546,enfj
Into Your Room (with MUNA),"Holly Humberstone, MUNA",0.06063645037175641,enfj
Double of Nothing,Norazo,0.06054433320793391,enfj
Ticket To You,UNIVERSE TICKET,0.060464595597790494,enfj
Winter Love Song,Izykite,0.06027553130267575,enfj
Found you,Yel,0.05992373513874223,enfj
MOROS,Ethan Low,0.05985290955574681,enfj
Crown,DWLLRS,0.059751033028732616,enfj
What Is Love (feat. J.O.Y & Ashley Alisha),"Dept, Ashley Alisha, J.O.Y",0.05969094194690715,enfj
Just Another Day,Punch,0.05967124079594795,enfj
풍등 (Choir Ver.),Lee Chanwon,0.05956798177857001,enfj
"Everywhere, Everything (with Gracie Abrams)","Noah Kahan, Gracie Abrams",0.05937439948177807,enfj
All I Want Is You (Kor Ver.),drewboi,0.05932384809892549,enfj
미쳐버리겠다 (MAD),BE'O,0.05929551890025183,enfj
POPULATION: TWO,Airliftz,0.059178964803312625,enfj
Imagining (feat. Amaarae),"Rina Sawayama, Amaarae",0.058734563357519434,enfj
Silent Night,Zara Larsson,0.05856928626928627,enfj
HBD To You,CSR,0.058557486115686216,enfj
WATCH IT,THE BOYZ,0.05849606277496303,enfj
사랑을 사랑하고 싶어 Love was my song,parkjiyoon,0.058399842355732035,enfj
2MANYTIMES,"SIRUP, CODY JON, Taka Perry",0.05816513812853878,enfj
Saying that I miss you in front of you,Bakjiji,0.058101989468907225,enfj
Stop Giving Me Advice (with Jack Harlow & Dave),"Lyrical Lemonade, Jack Harlow, Dave",0.05762881623631051,enfj
HELLO!,신의진,0.0574830258143864,enfj
Come into my dream,WISUE,0.056990488472767845,enfj
25℃,WOO JIN YOUNG,0.056753821878181676,enfj
My First Snow,MAKTUB,0.05656502095092627,enfj
You Make Me Feel,J.M3,0.05647088756390177,enfj
Whitewood (Feat. ecru),"SOIN, ecru",0.05643319494711405,enfj
I'm Sorry (ft. Lous and The Yakuza),"Arlo Parks, Lous and The Yakuza",0.05611259854505468,enfj
Marine Turtle - Korean Version,NCT U,0.056078328565938404,enfj
Over the window (feat. Paul Kim),"PARK WON, Paul Kim",0.055967615713754096,enfj
I WRITE SONGS ABOUT YOU,Braden Bales,0.055858558358578544,enfj
AMNESIA,WOODZ,0.05585300518640224,enfj
I YA E YA (MBTI),Seen Hyun Hee,0.05553365179949478,enfj
Changeless,"entoy, JustEddy, ilipp",0.05547684354415072,enfj
I Always Think About You,Jin-Won Kwon,0.05540366283674554,enfj
NIGHT DANCER - Yaffle Holiday Remix - Spotify Singles,"imase, Yaffle",0.055399425903099556,enfj
Meeting (The Moon during the Day) [2023 Remake],FTISLAND,0.05505062814499893,enfj
the soul savior ~ I don't need a superman,Billlie,0.05453333846239241,enfj
Just (feat. CloveR & SIM2),"merrymerryseoul, CloveR, SIM2",0.05452316958403915,enfj
Snowy Road,"WONK, 9m88",0.053995399913149264,enfj
Know u (feat. POYD),"Danny, Laymin, DonEmoji, POYD",0.05374284437503478,enfj
Already Over (Part 2),Mike Shinoda,0.05326840778701697,enfj
Christmas Love,A.C.E,0.053234427346535426,enfj
Please,Hwanhee,0.0529995416109715,enfj
I'm glad it's winter,Bubble Sisters,0.052793523892159834,enfj
MAGIC,Park kang hyun,0.052688834417977524,enfj
Ex-Mas,"JEON SOMI, BIG Naughty",0.05238113615615465,enfj
Everyday,Kim Addict,0.052147620882525,enfj
Good to Know,Sadie Jean,0.052046184039971854,enfj
"You’re mine, You!",Shin Youme,0.05177374149734082,enfj
Evidence (Feat. JUSTHIS),"kitsyojii, JUSTHIS",0.05175156394725021,enfj
"I Love You, Please Don't Hate Me",Sam Fischer,0.051289197626321115,enfj
Flow,D-LITE,0.05125643703660423,enfj
Only One,BANG YEDAM,0.05120332707228512,enfj
"후회해 (feat. Wonstein, Snacky Chan)","Wavycake, Wonstein, Snacky Chan",0.05115479955276159,enfj
Paris,Kenya Grace,0.05111467639824417,enfj
LET ME BE!,gencry,0.051086515501861086,enfj
bury. (Feat. SOLE),"punchnello, SOLE",0.05107984857473796,enfj
"Useless(Feat. THAMA, MEENOI)","HAAN, THAMA, meenoi (미노이)",0.05101244059913161,enfj
Promise,JUNNY,0.05070344108099297,enfj
Close To You,Johnny Orlando,0.05061811290953354,enfj
Seoul Tango,"PATEKO, Jayci yucca, Kid Wine",0.05044082717433947,enfj
"Again, Kim Dong Ryul",Coffeeboy,0.05026098967385732,enfj
To. X,TAEYEON,0.04933438072985592,enfj
B.I.Z.Z.Y,Bizzy,0.04896187456927363,enfj
