,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
1041,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1042,ISTJ YOGURT SHAKE,Dive Into You,NCT DREAM,0.767,0.715,4,-3.171,1,0.0493,0.23,0.0,0.139,0.584,75.968,192827,4
1043,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1044,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1045,ISTJ YOGURT SHAKE,Don’t Need Your Love,"NCT DREAM, HRVY",0.619,0.881,7,-4.683,1,0.0834,0.0632,0.0,0.103,0.769,160.145,201880,3
1046,ISTJ YOGURT SHAKE,Jet,"EUNHYUK, HYO, TAEYONG, JAEMIN, SUNGCHAN, WINTER, GISELLE",0.738,0.771,2,-2.818,1,0.0472,0.106,0.0,0.307,0.449,79.989,207693,4
1047,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1048,ISTJ YOGURT SHAKE,Like We Just Met,NCT DREAM,0.666,0.509,2,-5.619,1,0.0378,0.16,0.0,0.171,0.446,106.987,209627,4
1049,ISTJ YOGURT SHAKE,Poison,NCT DREAM,0.648,0.61,8,-4.032,0,0.0369,0.0648,0.0,0.282,0.577,134.965,212680,4
1050,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1051,ISTJ YOGURT SHAKE,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
1052,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1053,ISTJ YOGURT SHAKE,Love Lee,AKMU,0.914,0.532,5,-6.6,0,0.0734,0.453,4.57e-06,0.169,0.706,100.029,179683,4
1054,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1055,ISTJ YOGURT SHAKE,Barbie Dreams (feat. Kaliii) [From Barbie The Album],"FIFTY FIFTY, Kaliii",0.72,0.794,6,-2.644,1,0.0862,0.378,0.0,0.122,0.856,138.089,149438,4
1056,ISTJ YOGURT SHAKE,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
1057,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1058,ISTJ YOGURT SHAKE,Crazy,4Minute,0.54,0.929,7,-2.646,1,0.279,0.00584,4.11e-06,0.424,0.621,176.019,192400,4
1059,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1060,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1061,ISTJ YOGURT SHAKE,Hello Future,NCT DREAM,0.545,0.803,1,-2.283,1,0.0526,0.0261,0.0,0.114,0.5,170.006,220920,4
1062,ISTJ YOGURT SHAKE,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
1063,ISTJ YOGURT SHAKE,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
1064,ISTJ,ISTJ,NCT DREAM,0.646,0.956,4,-1.575,0,0.058,0.0161,0.0,0.299,0.356,121.955,185280,4
1065,ISTJ,Broken Melodies,NCT DREAM,0.577,0.821,1,-2.984,1,0.0492,0.186,0.0,0.18,0.392,150.023,226160,4
1066,ISTJ,Yogurt Shake,NCT DREAM,0.793,0.804,11,-2.988,1,0.0543,0.274,0.0,0.208,0.548,130.077,197600,4
1067,ISTJ,Blue Wave,NCT DREAM,0.708,0.736,5,-4.207,1,0.113,0.114,0.0,0.32,0.579,108.002,190867,4
1068,ISTJ,Poison,NCT DREAM,0.642,0.61,8,-4.037,0,0.0368,0.0627,0.0,0.314,0.588,134.83,212680,4
1069,ISTJ,Like We Just Met,NCT DREAM,0.663,0.51,2,-5.617,1,0.0383,0.161,0.0,0.171,0.442,106.984,209627,4
1070,ISTJ,Starry Night,NCT DREAM,0.675,0.765,0,-3.971,0,0.0431,0.446,0.0,0.184,0.728,152.984,190120,4
1071,ISTJ,SOS,NCT DREAM,0.775,0.815,1,-3.483,1,0.157,0.0541,0.0,0.435,0.442,110.03,179827,4
1072,ISTJ,ISTJ,NCT DREAM,0.646,0.956,4,-1.575,0,0.058,0.0161,0.0,0.299,0.356,121.955,185280,4
1073,ISTJ,Broken Melodies,NCT DREAM,0.577,0.821,1,-2.984,1,0.0492,0.186,0.0,0.18,0.392,150.023,226160,4
