Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
enfp songs' database,ME! (feat. Brendon Urie of Panic! At The Disco),"Taylor Swift, Brendon Urie, Panic! At The Disco",0.61,0.83,0,-4.105,1,0.0571,0.033,0.0,0.118,0.728,182.162,193000,4
enfp songs' database,fleabag,YUNGBLUD,0.236,0.918,2,-4.503,1,0.0998,0.000104,0.0178,0.294,0.312,98.46,176988,4
enfp songs' database,Fine,Lemon Demon,0.705,0.806,0,-9.129,1,0.0405,0.0797,0.000169,0.0545,0.439,134.997,279911,4
enfp songs' database,Fancy,"Iggy Azalea, Charli XCX",0.912,0.716,10,-4.141,0,0.0697,0.0904,0.0,0.0491,0.377,94.981,199938,4
enfp songs' database,Go Your Own Way,Fleetwood Mac,0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,218400,4
enfp songs' database,Jump,Van Halen,0.542,0.822,0,-7.201,1,0.0291,0.0745,0.00947,0.0645,0.772,130.011,239560,4
enfp songs' database,Tongue Tied,GROUPLOVE,0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,112.96,218013,4
enfp songs' database,Step,MrRandomhere,0.79,0.407,1,-13.407,1,0.109,0.0968,0.0,0.363,0.285,105.982,109263,4
enfp songs' database,I Was Born to Love You,Freddie Mercury,0.577,0.676,8,-7.575,1,0.0331,0.0144,1.36e-05,0.424,0.374,139.418,219373,4
enfp songs' database,Messages from the Stars,The Rah Band,0.649,0.821,7,-2.957,1,0.0329,0.0562,0.00271,0.318,0.698,113.489,254080,4
enfp songs' database,Finale (Can't Wait To See What You Do Next),AJR,0.539,0.517,5,-6.999,1,0.0272,0.0956,0.0,0.111,0.408,82.987,277711,4
enfp songs' database,Live Forever,Oasis,0.107,0.862,5,-2.706,0,0.0448,8.82e-06,4.25e-05,0.325,0.139,91.54,276053,4
enfp songs' database,Love On The Brain,Rihanna,0.509,0.637,4,-4.83,0,0.0471,0.0717,1.08e-05,0.0789,0.378,172.006,224000,3
enfp songs' database,I'm Still Standing,Elton John,0.504,0.904,6,-6.863,1,0.179,0.356,0.121,0.14,0.772,176.808,183440,4
enfp songs' database,Just Can't Get Enough,Depeche Mode,0.766,0.772,0,-9.362,1,0.0353,0.403,0.0584,0.183,0.919,128.168,220893,4
enfp songs' database,Freak,Doja Cat,0.688,0.716,7,-5.702,1,0.0385,0.0969,0.0,0.0989,0.373,116.912,284480,3
enfp songs' database,Dirty Harry,"Gorillaz, Bootie Brown",0.625,0.877,10,-7.176,0,0.162,0.0315,0.0811,0.672,0.865,192.296,230426,4
enfp songs' database,Ghost Rule,DECO*27,0.564,0.894,2,-4.596,1,0.0601,0.0279,0.0,0.281,0.472,104.955,210000,4
ENFP,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
ENFP,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
ENFP,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
ENFP,Skateboard,NCT DREAM,0.813,0.938,9,-2.017,1,0.136,0.09,0.0,0.0317,0.823,109.974,186333,4
ENFP,Blue Wave,NCT DREAM,0.718,0.735,7,-4.207,0,0.114,0.109,0.0,0.316,0.57,107.982,190867,4
ENFP,Poison,NCT DREAM,0.648,0.61,8,-4.032,0,0.0369,0.0648,0.0,0.282,0.577,134.965,212680,4
ENFP,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
ENFP,Pretzel (♡),NCT DREAM,0.769,0.69,10,-3.609,0,0.15,0.0244,0.0,0.0926,0.575,100.817,205693,4
ENFP,Starry Night,NCT DREAM,0.674,0.768,0,-3.973,0,0.0429,0.458,0.0,0.183,0.729,153.009,190120,4
ENFP,Like We Just Met,NCT DREAM,0.666,0.509,2,-5.619,1,0.0378,0.16,0.0,0.171,0.446,106.987,209627,4
ENFP,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
ENFP,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
ENFP,Beatbox,NCT DREAM,0.857,0.7,4,-4.189,0,0.074,0.0411,0.0,0.0334,0.773,93.997,205133,4
ENFP,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
ENFP,Yogurt Shake,NCT DREAM,0.794,0.806,11,-2.946,1,0.0506,0.274,0.0,0.196,0.573,130.075,197600,4
ENFP,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
ENFP,Better Than Gold,NCT DREAM,0.713,0.842,0,-3.225,1,0.0402,0.0526,0.0,0.0834,0.715,110.039,200747,4
ENFP,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
ENFP,Skateboard,NCT DREAM,0.813,0.938,9,-2.017,1,0.136,0.09,0.0,0.0317,0.823,109.974,186333,4
ENFP,Best Friend Ever,NCT DREAM,0.789,0.869,5,-1.805,0,0.103,0.022,0.0,0.0644,0.762,107.977,201440,4
ENFP,Jet,"EUNHYUK, HYO, TAEYONG, JAEMIN, SUNGCHAN, WINTER, GISELLE",0.738,0.771,2,-2.818,1,0.0472,0.106,0.0,0.307,0.449,79.989,207693,4
ENFP,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
ENFP,Blue Wave,NCT DREAM,0.718,0.735,7,-4.207,0,0.114,0.109,0.0,0.316,0.57,107.982,190867,4
ENFP,Candy,NCT DREAM,0.65,0.964,1,-1.329,1,0.0348,0.0538,0.0,0.245,0.836,120.008,217067,4
ENFP,Life Is Still Going On,NCT DREAM,0.681,0.749,0,-3.436,0,0.0701,0.158,0.0,0.303,0.676,150.039,218587,4
ENFP,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
ENFP,Poison,NCT DREAM,0.648,0.61,8,-4.032,0,0.0369,0.0648,0.0,0.282,0.577,134.965,212680,4
ENFP,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
ENFP,Graduation,NCT DREAM,0.4,0.663,6,-4.642,1,0.0712,0.426,0.0,0.141,0.41,169.772,237093,4
ENFP,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
ENFP,SOS,NCT DREAM,0.772,0.817,1,-3.483,1,0.204,0.052,0.0,0.435,0.44,110.058,179827,4
ENFP,Happier,"KANGTA, YESUNG, SUHO, TAEIL, RENJUN",0.648,0.423,0,-8.089,1,0.0543,0.293,1.06e-05,0.138,0.423,86.945,162533,4
ENFP,Broken Melodies,NCT DREAM,0.587,0.821,1,-2.983,1,0.0462,0.188,0.0,0.178,0.392,150.064,226160,4
ENFP,ISTJ,NCT DREAM,0.64,0.955,4,-1.565,0,0.0586,0.0159,0.0,0.322,0.358,121.99,185280,4
ENFP,Pretzel (♡),NCT DREAM,0.769,0.69,10,-3.609,0,0.15,0.0244,0.0,0.0926,0.575,100.817,205693,4
