,Playlist Name,Track Name,Artists,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration (ms),Time Signature
262,enfj,Mi-myo Mi-myo,Lovelyz,0.673,0.87,1,-1.155,1,0.0709,0.109,0.0,0.0463,0.918,127.955,182725,4
263,enfj,Solo,Ciipher,0.854,0.772,5,-4.155,1,0.0454,0.0354,0.0,0.085,0.827,141.954,223253,4
264,enfj,Hwi hwi,LABOUM,0.754,0.918,10,-2.984,1,0.0549,0.0145,0.0,0.117,0.747,123.963,196867,4
265,enfj,Bad Girl,woo!ah!,0.914,0.816,0,-2.501,1,0.0597,0.0262,0.0,0.0113,0.727,124.949,206437,4
266,enfj,Will be mine,ALICE,0.703,0.745,8,-2.856,1,0.0374,0.00665,7.02e-06,0.0544,0.773,128.015,195102,4
267,enfj,Amazing,MYTEEN,0.735,0.95,9,-2.778,0,0.262,0.173,0.0,0.421,0.746,118.0,176574,4
268,enfj,JACKPOT,ALICE,0.858,0.815,7,-2.743,1,0.0496,0.223,0.0,0.245,0.554,115.99,205507,4
269,enfj,Amazing,D1CE,0.741,0.789,6,-3.091,1,0.0501,0.0351,0.0,0.052,0.825,118.991,192493,4
270,enfj,LOVE STORY,TST,0.617,0.984,11,-2.989,0,0.05,0.034,0.0,0.476,0.879,120.008,202500,4
271,enfj,AFTER PARTY,SPECTRUM,0.675,0.893,10,-3.308,1,0.0505,0.0562,0.0,0.19,0.537,100.076,189137,4
272,enfj,마리야,HALO,0.717,0.87,11,-1.74,0,0.0628,0.0773,0.0,0.0907,0.843,126.954,184045,4
273,enfj,Hey Girl,B1A4,0.557,0.903,11,-2.727,0,0.113,0.194,0.0,0.274,0.887,174.054,195933,4
274,enfj,True Valentine,Weki Meki,0.728,0.894,9,-2.603,1,0.0445,0.0363,0.0,0.205,0.591,108.048,257060,4
275,enfj,Boyfriend,cignature,0.67,0.759,2,-4.818,1,0.0665,0.373,0.0,0.187,0.79,150.155,198653,4
276,enfj,TOUCH BY TOUCH - KOR Ver.,GreatGuys,0.748,0.856,8,-3.265,1,0.052,0.0823,0.0,0.107,0.701,121.98,184680,4
277,enfj,Stop it,B.A.P,0.729,0.969,0,-1.63,0,0.109,0.058,0.0,0.23,0.925,124.957,205923,4
278,enfj,Celebration,BewhY,0.902,0.604,0,-6.331,1,0.119,0.0368,8.01e-06,0.202,0.802,119.917,196120,4
279,enfj,BREATHE (Feat. MINO) (Prod. GRAY),"Anandelight, unofficialboyy, BE'O, Geegooin, Mudd the student, MINO",0.764,0.825,7,-3.332,1,0.0724,0.088,0.0,0.115,0.861,119.897,327625,4
280,enfj,1.2.3,B.I.G,0.669,0.931,4,-2.356,0,0.085,0.0309,0.0,0.518,0.819,127.975,198440,4
281,enfj,ABC (Middle of the Night),VAV,0.699,0.914,11,-4.184,0,0.134,0.266,0.0,0.228,0.665,103.973,205963,4
282,enfj,Crush,Weki Meki,0.756,0.776,9,-3.371,1,0.0482,0.0288,0.0,0.17,0.58,124.007,196178,4
283,enfj,#OOTD,"Xydo, Coogie",0.777,0.7,10,-4.126,1,0.215,0.166,0.0,0.0816,0.393,96.145,184573,4
284,enfj,Too Bad,WEi,0.705,0.873,10,-3.161,1,0.0916,0.0101,0.0,0.103,0.754,154.986,196560,4
285,enfj,Counting Stars,"BE'O, Beenzino",0.883,0.637,8,-6.982,1,0.065,0.112,3.11e-06,0.106,0.575,118.999,151261,4
286,enfj,Cupid,DKZ,0.648,0.76,9,-3.191,0,0.0441,0.0547,0.0,0.355,0.831,145.08,193320,4
287,enfj,#MOOD,MCND,0.796,0.923,8,-1.947,1,0.206,0.136,0.0,0.305,0.687,125.969,167853,4
288,enfj,Doom Du Doom,P1Harmony,0.764,0.797,6,-2.92,1,0.0575,0.00356,4.82e-05,0.0811,0.846,123.114,210333,4
289,enfj,Pop? Pop!,CSR,0.749,0.945,10,-1.993,0,0.0503,0.0188,5.41e-06,0.0413,0.819,122.03,215347,4
290,enfj,Boogie Woogie,CRAVITY,0.676,0.877,2,-3.506,1,0.173,0.0795,0.0,0.0644,0.882,107.948,190890,4
291,enfj,DANCE ON,ALICE,0.708,0.876,10,-2.224,1,0.0883,0.152,0.0,0.0737,0.819,124.024,217240,4
292,enfj,LOVETICON (♡TiCON),CSR,0.686,0.93,5,-1.484,1,0.207,0.0554,0.0,0.259,0.656,159.978,180107,4
293,enfj,BREAK UP,"Leellamarz, TOIL",0.627,0.705,4,-3.458,1,0.0381,0.0638,0.0,0.216,0.36,99.826,175380,4
294,enfj,TAXI feat. tofubeats,"NOA, tofubeats",0.714,0.569,6,-6.794,0,0.0553,0.201,0.0,0.141,0.731,150.071,173832,4
295,enfj,Runners,"Skinny Brown, Jayci yucca, TOIL",0.63,0.729,0,-5.012,1,0.0414,0.387,0.0,0.0551,0.525,119.901,172234,4
296,enfj,No! Go Back,"Skinny Brown, Jayci yucca, TOIL, Han Yo Han",0.429,0.828,7,-4.068,1,0.174,0.00381,0.0,0.0834,0.639,159.881,180941,4
297,enfj,Baby,GIRIBOY,0.795,0.558,7,-4.744,0,0.275,0.2,0.0,0.0864,0.849,173.984,224474,4
298,enfj,FUXX THAT SHXX!,"Leellamarz, TOIL, lIlBOI, TakeOne",0.826,0.831,6,-3.827,0,0.0636,0.195,0.0,0.0938,0.851,109.972,213500,4
299,ENFJ-T🤍🤘🏻,,,0.744,0.75,9,-3.234,1,0.087,0.0891,1.87e-05,0.25,0.532,85.018,264506,4
300,ENFJ-T🤍🤘🏻,,,0.602,0.513,7,-5.76,1,0.0401,0.00783,0.0,0.194,0.233,167.992,203862,4
301,ENFJ-T🤍🤘🏻,Яд,Six Dior,0.593,0.543,10,-9.797,0,0.0306,0.00112,0.917,0.115,0.352,120.016,162038,5
302,ENFJ-T🤍🤘🏻,Sure Thing - Sped Up,Miguel,0.753,0.458,4,-12.52,0,0.123,0.0812,0.00413,0.209,0.662,105.057,150054,4
303,ENFJ-T🤍🤘🏻,Swim,Chase Atlantic,0.666,0.542,8,-6.429,1,0.0392,0.27,0.0,0.0765,0.0771,120.134,228787,4
304,ENFJ-T🤍🤘🏻,HEAVEN AND BACK,Chase Atlantic,0.309,0.793,10,-6.195,0,0.0774,0.0902,0.092,0.0888,0.532,193.714,248240,4
305,ENFJ-T🤍🤘🏻,Friends,Chase Atlantic,0.422,0.609,11,-6.361,0,0.0335,0.0114,4.76e-06,0.108,0.0911,107.34,230011,3
306,ENFJ-T🤍🤘🏻,Die For You (with Ariana Grande) - Remix,"The Weeknd, Ariana Grande",0.575,0.5,1,-7.594,0,0.0707,0.227,0.0,0.335,0.506,67.033,232857,4
